;;ICAS Method;;;LRGP Method;;
num;SMILES;Tc[k];Pc[bar];omega[-];Tc[k];Pc[bar];omega[-]
2942;CC(C)N(C(C)C)N=O;585.13;30.93;0.511;631.62;20.09;0.43
2943;Oc1cccc(O)c1N(=O)=O;840.72;69.06;0.995;754.54;50.66;0.87
2944;Clc1sc(Cl)c(Cl)c1Cl;784.49;42.66;0.412;717.06;38.01;0.21
2945;c(cc1)ccc1c1c2ccccc2cc2ccccc12;944.96;21.9;0.621;985.59;23.46;0.69
2946;OC(=O)c(c(F)c1F)c(F)c(F)c1F;727.02;31.94;0.825;673.71;37.87;0.69
2947;Cc1c(c(C)c(c(C)c1N(=O)=O)N(=O)=O)N(=O)=O;889.1;25.45;1.158;722.19;34.41;0.77
2948;Oc1c(c(C)c(cc1N(=O)=O)N(=O)=O)N(=O)=O;910.16;35.74;1.39;739.60;35.16;0.90
2949;CCCC(CO1)OC1(Cn1cncn1)c1ccc(Cl)cc1Cl;983.65;22.02;0.961;933.74;21.82;0.92
2950;CCCSSSCCC;727.02;27.31;0.505;674.24;27.97;0.47
2951;c(cc1)ccc1N(c1ccccc1)c1ccccc1;882.44;22.95;0.624;905.00;25.08;0.58
2952;c(cc1)ccc1P(c1ccccc1)c1ccccc1;1008;78.4;0.407;898.41;29.99;0.64
2953;CCOC(=O)N(c1ccccc1)c1ccccc1;898.67;25.18;0.741;826.29;22.28;0.60
2954;Cc(cc1C)cc(C)c1N(=O)=O;766.46;30.31;0.59;718.68;29.99;0.45
2955;Cn1ccc2c1cccc2;759.16;31.21;0.377;727.84;42.02;0.31
2956;OC(=O)c(cccc1C)c1C;782.47;35.49;0.772;784.30;40.99;0.66
2957;Nc1cccc(c1C)N(=O)=O;807.9;40.69;0.681;821.78;39.58;0.72
2958;Oc1cccc(c1N)N(=O)=O;845.95;56.98;0.915;846.19;49.83;0.98
2959;CCCC(O)C;560.8;38.48;0.646;560.29;36.96;0.55
2960;OC1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O;1190;34.24;1.366;934.51;28.29;0.90
2961;Cc1c2ccccc2c2ccccc2c1C;881.19;26.07;0.534;904.20;26.44;0.54
2962;CCc1c(CC)c(CC)c(CC)c(CC)c1CC;769.75;15.21;0.725;744.14;17.32;0.75
2963;FC1(F)C(F)(F)C(F)(C(F)(F)C2(F)F)C(F)(C(F)(F)C2(F)F)C(F)(F)C1(F)F;565.18;13.77;0.672;649.12;10.04;0.82
2964;FC1(F)C(F)(F)C(F)(C(F)(F)C2(F)F)C(F)(C(F)(F)C1(F)F)C(F)(F)C2(F)F;565.18;13.77;0.672;649.12;10.04;0.82
2965;CCCCCC(C)CO;640.83;27.45;0.761;613.74;28.37;0.77
2966;COC(OC)C=C;544.86;36.17;0.364;534.63;34.81;0.38
2967;CC=CCCc1ccccc1C;696.7;24.34;0.471;706.63;25.18;0.48
2968;COCCOCCOCCOCCOCCOCCOCCOCCOCCO;868.89;12.15;0.873;925.50;11.93;1.13
2969;CCc1cc(CC)c(CC)c(CC)c1CC;746.98;17.11;0.642;731.51;18.89;0.67
2970;c(cc1)ccc1c1c2ccccc2ccc1;903.73;35.04;0.516;852.02;26.92;0.53
2971;Oc(ccc1C2=O)cc1C(=O)c1ccccc21;985.22;42.77;0.637;946.73;33.98;0.86
2972;Cc1ccccc1c1ccccc1C;840.04;32.13;0.518;798.61;28.81;0.47
2973;Oc1c2ccccc2c(N=O)cc1;865.96;45.29;0.825;847.78;36.32;0.74
2974;O=c1c2ccccc2c2ccccc2c(=O)o1;933.74;33.02;0.801;855.29;27.74;0.70
2975;Cc1c(cccc1N(=O)=O)N(=O)=O;820.94;35.94;0.768;741.54;33.39;0.68
2976;O=C1c2ccccc2C(C1)=O;861.57;44.79;0.554;860.98;42.63;0.59
2977;COc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O;889.24;30.89;1.166;804.36;28.15;1.05
2978;CN1c2ccccc2C=CC1=O;848.9;31.26;0.245;774.05;40.41;0.38
2979;COC(=O)c1ccccc1OC;711.7;31.02;0.566;749.25;31.06;0.54
2980;CCN(CC)c1ccccc1C;728.05;26.1;0.472;704.78;25.33;0.55
2981;c(cc1)ccc1C(n1ccnc1)c1ccc(cc1)c1ccccc1;975.16;19.95;0.738;1004.81;24.05;0.79
2982;CCCCC(O)C(O)=O;754.88;36.85;1.083;682.81;36.95;1.14
2983;CCCCCCCCCCCCCCCCCCCCC(OC)=O;811.67;11.73;1.085;805.82;8.90;0.95
2984;CCCCC1c2ccccc2C(O1)=O;834.73;26.83;0.653;804.20;27.53;0.57
2985;O=CN(c1ccccc1)c1ccccc1;853.47;33.34;0.65;830.00;28.21;0.59
2986;COc1c2ccccc2ncc1;799.19;37.28;0.519;795.59;35.03;0.44
2987;CC1=CC(=O)Nc2ccccc12;856.07;32.98;0.583;842.88;37.48;0.54
2988;Cc1nc2ccccc2c(O)c1;835.35;45.11;0.685;810.34;37.65;0.57
2989;COc(c1)c2OCOc2cc1CC=C;780.3;27.81;0.667;799.77;27.84;0.45
2990;CCOC(C(CC)C(C)=O)=O;672.35;26.94;0.647;633.41;26.80;0.61
2991;Cc1cccc(Cl)c1C;689.67;35.83;0.349;685.40;34.13;0.34
2992;Oc1cccc(O)c1C;780.76;66.53;0.613;779.27;59.96;0.76
2993;Nc1cccc(Cl)c1Cl;776.52;43.81;0.483;760.15;41.71;0.45
2994;Clc1cccc(Cl)c1N;776.52;43.81;0.483;756.22;41.07;0.46
2995;Nc1cccc(N)c1N;839.66;56.15;0.776;824.33;47.29;0.63
2996;Cn1c([nH]ccc1=O)=O;799.93;56.9;0.666;814.38;49.81;0.43
2997;Oc1ccc(O)c(C)c1C;799.93;56.9;0.666;792.96;54.62;0.72
2998;COC(C(O)C(O)C(OC)=O)=O;729.53;37.05;1.603;763.89;38.61;0.88
2999;Oc1c(Br)c(Br)c(Br)c(Br)c1Br;911.21;49.72;0.568;840.91;35.73;0.57
3000;Clc1cc(Cl)c(Cl)c(Cl)c1Cl;790.74;31.9;0.485;790.76;29.21;0.42
3001;Oc(cc1Cl)c(Cl)c(Cl)c1O;840.19;52.4;0.879;848.92;48.61;0.66
3002;C(c1ccccc1)n1cncn1;971.28;49.65;0.69;792.51;34.91;0.54
3003;OC(CCC#C)=O;704.66;45.05;0.705;705.67;45.27;0.73
3004;COC(C(C)C(OC)=O)=O;622.2;31;0.57;639.56;35.03;0.62
3005;CCOC(C(C)C(C)=O)=O;654.88;29.81;0.597;640.58;29.35;0.62
3006;Oc(cc1Cl)cc(Cl)c1Cl;797.51;44.55;0.602;792.21;45.32;0.62
3007;CCC(CC)C(C)C;550.52;25.64;0.345;567.23;27.17;0.33
3008;OCC(CC)N(=O)=O;683.09;43.07;0.921;684.38;36.24;0.77
3009;O=C(c1cocc1)N;822.46;61.29;0.579;812.19;53.84;0.58
3010;O=C(c1occc1)N;822.46;61.29;0.579;767.19;57.41;0.55
3011;O=N(=O)c1occc1;741.71;56.62;0.469;700.83;52.42;0.40
3012;O=N(=O)c1sccc1;780.43;56.87;0.429;755.85;49.08;0.33
3013;Clc1ccccc1C(=O)N;845.06;45.86;0.61;819.67;42.49;0.55
3014;OC(=O)C1=CC=CNC1=O;855.35;57.45;0.849;833.97;49.73;0.77
3015;CN(C)c1ccccc1C;699.95;32.05;0.433;689.97;34.64;0.41
3016;CCCCC(C)=C;538.83;28.94;0.314;537.30;28.67;0.31
3017;OOCCCc1ccccc1;710.15;34.38;0.827;726.60;35.23;0.97
3018;O=S(c(cc1)ccc1N1CCCCS1(=O)=O)(=O)N;677.3;19.67;0.844;924.21;36.83;0.74
3019;OC(=O)c1ccccc1Nc(cccc1C)c1C;910.08;24.98;1.09;881.77;28.32;0.95
3020;Nc1n[nH]cn1;1032.01;34.35;0.811;820.45;66.85;0.54
3021;CC(C)CC(N)C(O)=O;1032.01;34.35;0.811;743.68;34.37;0.74
3022;O=N(=O)c1ccccc1C(=O)N;880.59;44.74;0.837;834.82;39.15;0.79
3023;CN(C)c1ccccc1C(O)=O;805.89;33.09;0.825;785.33;36.61;0.58
3024;CN(C)c1ccccc1N(=O)=O;781.01;32.76;0.606;813.00;33.40;0.47
3025;OC(=O)c1ccc(cc1N(=O)=O)N(=O)=O;884.79;35.28;1.242;821.58;31.02;0.93
3026;Cc(ccc1N(=O)=O)cc1N(=O)=O;814.76;34.11;0.768;793.25;29.40;0.63
3027;N#CCc1ccccc1N(=O)=O;811.84;31.36;0.724;778.72;29.46;0.70
3028;OC(=O)c1cc(C)ccc1C;775.16;33.7;0.772;759.30;39.12;0.64
3029;COc1ccncn1;689.25;51.74;0.412;680.53;47.69;0.46
3030;OC(=O)c1ccc(C)cc1C;775.16;33.7;0.772;765.23;35.41;0.63
3031;OC(=O)c1ccc(N)cc1N;864.7;45.64;1.02;930.60;48.56;0.99
3032;CCOC(C1CCCC1=O)=O;763.87;33.31;0.558;732.16;32.69;0.68
3033;COC(=O)c1occc1;647.07;42.85;0.464;653.93;43.67;0.48
3034;Cc1ccccc1C=C;656.04;33.65;0.352;660.93;34.17;0.34
3035;ClCc1ccccc1Cl;722.84;35.82;0.358;730.24;36.62;0.37
3036;Oc1ccccc1C#N;767.03;49.99;0.647;753.61;48.44;0.63
3037;CNc1ccccc1C;708.79;39.59;0.514;713.39;40.30;0.48
3038;Cc1c2ncccc2ccc1;801.7;40.64;0.44;774.54;42.97;0.36
3039;Clc1c2ncccc2ccc1;817.35;42.72;0.45;785.55;40.26;0.36
3040;Nc1c2cccnc2ccc1;845.94;47.99;0.574;832.24;40.14;0.48
3041;Oc1c2ccccc2ncc1;826.27;52.75;0.634;813.59;45.54;0.51
3042;O=N(C(c1ccccc1)N(=O)=O)=O;968.07;42.89;0.733;744.12;30.69;0.70
3043;CC(C)C(O)c1ccccc1;697.06;31.08;0.758;698.59;30.04;0.52
3044;CC(C)C(=O)c1ccccc1;731.97;30.67;0.481;724.97;33.47;0.44
3045;OC(=O)C(c1ccccc1)=O;817.15;42.19;0.828;717.70;36.10;0.79
3046;CN(C)C(c1ccccc1)=O;768.09;32.16;0.526;745.03;34.39;0.34
3047;COc1ccc(cc1)C(=O)c1ccccc1;839.98;26.2;0.685;853.48;24.63;0.68
3048;FC(F)(F)N;396.19;47.13;0.305;412.10;50.45;0.34
3049;OCC=CC;562.45;45.3;0.599;556.11;46.49;0.56
3050;CC(=O)Nc1cccc2c1C(=O)NC2=O;1022.96;42;1.091;938.30;34.98;0.89
3051;CC(c1ccccc1)c1ccccc1;776.17;26.24;0.464;775.30;26.80;0.44
3052;COc1ccccc1C=C;681.04;32.85;0.417;672.13;32.92;0.41
3053;COc1ccccc1CO;696.59;37.57;0.775;725.32;39.64;0.64
3054;C1c2ccccc2CC=C1;712.17;38.33;0.276;713.56;34.69;0.37
3055;CCc1ccccc1C(O)=O;769.88;33.01;0.751;746.58;35.29;0.63
3056;CCc1ccccc1N(=O)=O;740.54;32.67;0.541;751.62;34.14;0.53
3057;N#Cc1ccccc1N(=O)=O;789.21;37.6;0.672;758.59;34.87;0.63
3058;OCc1ccccc1N(=O)=O;762.57;39.59;1.012;777.05;38.40;0.88
3059;CNc1ccccc1N(=O)=O;787.27;40.63;0.659;795.94;36.36;0.64
3060;O=Nc1ccccc1N(=O)=O;830.33;45.41;0.676;771.15;40.71;0.65
3061;Ic1cc2ccccc2cc1;828.6;37.69;0.352;783.64;38.84;0.30
3062;Clc1cc2cccnc2cc1;811.64;42.9;0.45;786.45;39.10;0.38
3063;Cc1cc2ccccc2nc1;784.52;38.29;0.44;781.23;38.42;0.34
3064;Cc1cc2ncccc2cc1;795.58;40.81;0.44;783.66;37.09;0.37
3065;Clc1nc2ccccc2cc1;801.33;40.16;0.45;781.91;38.06;0.38
3066;c(cc1)ccc1c1cc(c2ccccc2)cc(c2ccccc2)c1;1018.27;30.83;0.793;923.49;16.58;0.80
3067;Cc1cc(ccc1)c(ccc1)cc1C;843.04;31.47;0.518;792.23;27.16;0.42
3068;CCCC(C(CC)Sc1ccoc1C)=O;859.25;22.89;0.747;784.41;23.60;0.68
3069;CCCCC(C(CCC)Sc1ccoc1C)=O;898.3;19.2;0.834;801.92;21.71;0.74
3070;CC(C)CC(C(C(C)C)Sc1ccoc1C)=O;905.16;19.48;0.77;761.48;18.86;0.72
3071;N#CNC(N)=S;688.96;52.73;0.613;821.96;50.54;0.43
3072;Nc(ccc1c2)cc1cc1ccccc21;914.24;29.68;0.615;937.85;25.97;0.59
3073;C1c2ccccc2Cc2ccccc12;873;29;0.426;844.13;27.66;0.46
3074;Cc1ccc(cc1)c(cc1)ccc1C;844.84;32.16;0.518;784.11;26.86;0.47
3075;COc(ccc1C=O)cc1OC;757.72;31.46;0.697;782.10;29.68;0.61
3076;N#Cc1cc2ccccc2cc1;815.15;35.47;0.563;838.06;33.25;0.47
3077;CCN(CC)c(cc1)ccc1C;731.95;26.11;0.472;720.15;25.99;0.48
3078;CCOc1ccccc1C=O;735.28;32.15;0.642;731.08;29.89;0.55
3079;COc1ccccc1OC(C)=O;751.26;30.87;0.63;725.08;32.94;0.62
3080;CC(OC(OC(C)=O)c1occc1)=O;715.35;29.38;0.744;685.07;27.95;0.74
3081;Cc(ccc1O)cc1C=O;774.46;43.72;0.686;764.65;41.44;0.67
3082;N#CC(c1ccccc1)=O;768.77;36.62;0.589;708.28;33.74;0.51
3083;ON=C(C)c1ccccc1;796.25;36.16;0.777;759.02;40.86;0.63
3084;CNC(c1ccccc1)=O;735.85;40.11;0.576;769.57;38.83;0.49
3085;NNC(c1ccccc1)=O;799.09;49.18;0.724;817.85;45.03;0.69
3086;CCN(C)c1ccccc1;702.42;32.22;0.422;693.74;30.92;0.40
3087;CCNC(OC)=O;579.73;39.86;0.508;646.64;40.26;0.49
3088;CN(c1ccccc1)N=O;669.89;40.11;0.518;759.86;35.95;0.48
3089;N#CCC(=O)c1ccccc1;805.93;32.88;0.64;785.84;32.81;0.64
3090;CCOC(=O)c1cccnc1;721.23;32.88;0.538;716.34;33.48;0.55
3091;NC(CC(O)=O)c1ccccc1;807.11;36.47;0.898;864.90;37.96;0.93
3092;Cc1ccccc1N=C=O;666.67;35.35;0.466;682.47;36.84;0.42
3093;CCOc1ccccc1C;668.65;31.82;0.45;655.00;30.25;0.45
3094;CCOc1ccccc1Cl;695.78;33.15;0.424;683.00;30.88;0.49
3095;OC(=O)Cc1ccccc1O;822.04;46.44;0.866;814.61;45.89;0.90
3096;Cc1ccccc1NC(N)=S;763.58;48.12;0.515;824.71;31.12;0.59
3097;Oc1ccccc1NC(C)=O;827.84;48.9;0.843;808.39;42.74;0.80
3098;CCOC(=O)c1occc1;665.12;37.46;0.514;659.05;37.41;0.55
3099;OP(O)OCCOP(O)O;747.21;38.6;2.148;783.14;50.85;0.62
3100;OCCC(OC)=O;614.57;43.74;0.744;697.45;45.50;0.62
3101;COc1ccc(N)cc1N;801.65;42.52;0.709;808.48;39.56;0.61
3102;CCCOC(=O)c1cocc1;681.86;33.17;0.565;693.69;32.89;0.65
3103;O=C(Cc1cc2)Cc1cc2;792.21;44.18;0.438;793.32;39.04;0.55
3104;Cc(nc1cc2)[nH]c1cc2;880.4;38.06;0.601;796.45;39.52;0.43
3105;O=C1Nc2ccccc2N1;880.4;38.06;0.601;927.50;47.87;0.60
3106;Clc1oc2ccccc2n1;778.8;48.56;0.478;757.42;46.05;0.42
3107;Nc1ccccc1Br;757.4;48.1;0.44;716.48;46.91;0.35
3108;Nc1ccccc1I;790.17;45.89;0.436;717.33;44.57;0.29
3109;CCOC(=O)N(C)N=O;600.67;38.25;0.639;682.05;36.14;0.54
3110;Brc(ccc1Br)cc1Br;797.42;44.26;0.323;751.28;41.75;0.37
3111;Oc1ccc(Br)cc1Br;804.14;55.13;0.46;805.18;50.11;0.47
3112;Clc(ccc1C)cc1C;678.65;34.01;0.349;681.62;33.69;0.36
3113;Oc(ccc1C)cc1Cl;741.58;45.45;0.526;738.04;45.66;0.54
3114;Cc(ccc1N)cc1Cl;749.57;39.28;0.472;753.98;38.49;0.48
3115;Oc(ccc1O)cc1Cl;791;65.62;0.741;814.65;57.41;0.65
3116;Nc(ccc1N)cc1N;833.97;52.24;0.776;841.73;48.24;0.62
3117;Cn1ccc(=O)[nH]c1=O;788.85;52.1;0.666;816.07;49.52;0.48
3118;Oc1cc(O)c(C)cc1C;788.85;52.1;0.666;777.22;52.76;0.71
3119;Oc1cc(C)c(O)cc1C;788.85;52.1;0.666;772.83;54.88;0.70
3120;Nc1nn(C)nn1;801.15;90.39;0.811;744.52;55.31;0.48
3121;CNCl;498.85;62.7;0.273;519.95;73.54;0.30
3122;CC1=CC(OC1=O)=O;809;59.45;0.488;799.36;56.68;0.53
3123;CCC(C)=CC;511.73;31.33;0.32;515.64;32.36;0.26
3124;ClCC(C)CCl;624.02;37.65;0.348;604.36;37.42;0.35
3125;CCC(Cl)CC;544.66;33.99;0.285;545.51;33.11;0.25
3126;CCC(Cl)CCl;605.5;37.47;0.293;600.55;36.07;0.30
3127;OCC(Cl)CCl;657.63;48.04;0.704;648.85;45.31;0.74
3128;CCC(N)CC;542.65;34.77;0.392;536.95;37.00;0.34
3129;CCC(O)C=C;560.67;41.06;0.644;552.46;37.00;0.52
3130;CCC(CCl)=O;605.62;41.14;0.388;599.64;40.31;0.41
3131;CCC(S)CC;574.98;36.08;0.293;582.27;36.41;0.27
3132;COC(OC)=O;536.61;48.44;0.378;548.08;45.00;0.38
3133;CCN(C)CC;512.59;32.41;0.32;506.63;31.19;0.31
3134;CCN(CC)N;569.61;34.34;0.435;580.04;37.65;0.41
3135;COS(OC)=O;578.28;50.15;0.366;582.66;46.31;0.40
3136;O=C1NCCC1;737.35;61.04;0.36;801.57;57.43;0.41
3137;Cn1ccnc1;820.77;83.42;0.514;649.50;55.06;0.29
3138;OC(=O)c(ccc1O)cc1N(=O)=O;870.35;46.22;1.235;908.58;38.83;1.01
3139;SCC(C(O)=O)NC(C)=O;730.13;43.09;1.025;850.50;39.09;0.87
3140;CSC(C)(C)C;576.1;35.39;0.231;570.07;35.42;0.23
3141;CC(C)(C)OC(C)(C)C;542.18;25.19;0.287;546.13;23.22;0.32
3142;C(CCCCc1ccc2cc1)CCCc1ccc(C2)cc1;893.48;20;0.699;893.83;18.03;0.76
3143;COC(OC1CCCCCCC1)=O;718.51;28.46;0.523;691.56;26.16;0.61
3144;CCOC(=O)c(ccc1O)cc1OC;792.3;31.73;0.872;775.66;30.75;0.82
3145;CCCC(O)C(C)C;603.62;30.55;0.715;589.07;31.04;0.59
3146;CCCC(O)C(O)=O;742.79;42.08;1.045;673.94;39.85;1.00
3147;CCOC(=O)C(C)=O;623.47;37.03;0.529;594.85;37.53;0.49
3148;CC(C)OC(C(C)C)=O;579.56;27.89;0.434;562.11;26.53;0.50
3149;COC(=O)CC(=C)C(OC)=O;653.89;29.03;0.601;681.17;29.44;0.61
3150;CCC(CC)CC;528.86;28.08;0.317;541.40;28.96;0.31
3151;NCC(CC)CC;625.24;33.11;0.423;575.39;33.95;0.50
3152;CCC(CC)C#N;619.92;30.4;0.435;621.12;31.98;0.40
3153;CCN(CC)C#N;628.34;28.32;0.478;639.53;33.93;0.42
3154;CCN(CC)C=O;546.52;37.82;0.466;616.33;35.60;0.39
3155;NCc1occc1;655.2;51.43;0.44;644.77;52.18;0.55
3156;N#Cc1occc1;669.25;46.37;0.431;661.00;50.66;0.43
3157;CCn1cccc1;622.46;41.58;0.252;603.73;44.23;0.28
3158;OC(C)(C)c1ccccc1;677.63;33.29;0.756;674.01;34.95;0.63
3159;BrC(=O)c1ccccc1;736.36;47.69;0.493;709.60;45.72;0.37
3160;ClC(=C)c1ccccc1;683.78;36.93;0.301;689.77;35.27;0.30
3161;CN(N)c1ccccc1;720.12;43.32;0.474;745.30;41.69;0.49
3162;OS(=O)c1ccccc1;825.12;51.65;0.609;795.45;50.34;0.48
3163;CC(=O)N1CCCCC1;701.84;36.02;0.478;737.47;35.12;0.34
3164;CC(C)c(ccc1)cc1O;725.27;37.33;0.497;720.14;38.98;0.57
3165;ClC(=O)c(ccc1)cc1Cl;765.07;38.71;0.485;728.16;36.57;0.43
3166;Cc1cc(ccc1)C(=O)N;832.79;42.38;0.597;795.57;41.71;0.53
3167;Clc1cc(ccc1)C(=O)N;846.53;45.86;0.61;809.91;41.08;0.58
3168;Oc1cc(ccc1)C(=O)N;867.23;61.14;0.817;846.01;51.03;0.79
3169;CCOC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O;850.24;26.16;1.047;782.92;24.93;0.91
3170;Cc1cc(cc(c1)N(=O)=O)N(=O)=O;809.71;33;0.768;830.01;30.06;0.76
3171;Nc1cc(cc(c1)N(=O)=O)N(=O)=O;852.57;37.97;0.932;870.65;38.43;0.90
3172;CCc(ccc1C)c(C)c1C;706.35;27.55;0.462;702.63;27.85;0.46
3173;CCc(c(C)ccc1C)c1C;706.35;27.55;0.462;697.47;27.78;0.46
3174;CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC=C;923.76;8.31;1.588;910.06;6.34;1.44
3175;CC1CCC(CC1O)C(C)=C;703.08;26.3;0.701;676.76;29.49;0.72
3176;OC(=O)c(ccc1C)cc1C;775.16;33.7;0.772;785.02;38.49;0.64
3177;OC(=O)c(ccc1N)cc1N;864.7;45.64;1.02;920.37;45.31;1.02
3178;Cc1cc(ccc1N(=O)=O)N(=O)=O;814.76;34.11;0.768;747.34;34.26;0.64
3179;CCc1cc(C(O)=O)ccc1;771.92;32.66;0.751;763.53;32.77;0.72
3180;OC(=O)c(ccc1)cc1C=O;808.5;38.06;0.902;859.27;37.29;0.82
3181;N#Cc1cc(ccc1)N(=O)=O;791.09;37.15;0.672;787.04;33.62;0.67
3182;OCc1cc(ccc1)N(=O)=O;764.67;39.1;1.012;806.06;37.01;0.95
3183;CN(C)c1cc(ccc1)N(=O)=O;782.95;32.41;0.606;779.72;28.65;0.56
3184;COC(=O)c(cc1)ccc1N;761.37;36.37;0.621;822.58;36.91;0.63
3185;Cc1ccc(cc1)C(=O)N;833.73;42.38;0.597;837.23;41.16;0.54
3186;Clc1ccc(cc1)C(=O)N;847.42;45.86;0.61;841.66;40.87;0.54
3187;Oc1ccc(cc1)C(=O)N;868.04;61.14;0.817;935.46;51.09;0.88
3188;OC(=O)c(cc1)ccc1I;829.38;40.58;0.7;749.60;42.97;0.47
3189;CCc1ccc(C(O)=O)cc1;773.14;33.02;0.751;787.71;34.82;0.75
3190;OC(=O)c(cc1)ccc1C#N;815.97;38.05;0.868;840.69;37.59;0.82
3191;OC(=O)c(cc1)ccc1C=O;809.55;38.55;0.902;841.28;38.89;0.84
3192;N#Cc1ccc(cc1)N(=O)=O;792.21;37.62;0.672;771.84;35.15;0.60
3193;OCc1ccc(cc1)N(=O)=O;765.93;39.61;1.012;796.86;39.05;0.98
3194;O=N(=O)c1ccc(cc1)C(=O)N;882.62;44.74;0.837;836.79;34.45;0.75
3195;OC(C1CCC(CC1)C(O)=O)=O;846.79;35.68;1.024;838.05;37.36;0.91
3196;CN(C)c1ccc(C(O)=O)cc1;808.68;33.11;0.825;798.81;36.00;0.80
3197;CCOc1ccc(C(O)=O)cc1;789.62;32.86;0.841;792.03;32.52;0.79
3198;CCCC(CC)CC;558.21;25.51;0.36;566.76;25.96;0.36
3199;OCCCC=CCC;632.69;30.73;0.72;625.75;30.68;0.64
3200;OCCOCCCCC;662.37;29.14;0.902;647.23;30.26;0.63
3201;OC(=O)c1ccc(cc1)N(=O)=O;827.3;39.04;0.921;813.26;34.84;0.78
3202;CCOc1ccc(cc1)NC(C)=O;800.02;30.76;0.763;765.22;30.19;0.81
3203;CCOS(C)(=O)=O;709.58;50.21;0.616;699.79;42.52;0.46
3204;CC(N)=S;514.01;67.21;0.449;683.32;65.26;0.27
3205;NC(N)=S;578.9;89;0.515;853.82;82.31;0.36
3206;NC(C)(C)C(O)=O;1023.01;43.07;0.665;742.26;47.71;0.68
3207;COP(OC)(OC=C(Cl)Cl)=O;795.64;48.73;0.245;661.36;28.73;0.35
3208;CN(C)N=O;487.31;48.9;0.379;672.44;50.46;0.30
3209;Cc1oc(C=O)cc1;687.4;47.44;0.47;683.41;47.10;0.43
3210;COc1ccncc1;672.18;45.19;0.364;661.50;44.97;0.48
3211;OCC(CO)ON(=O)=O;814.77;57.48;1.58;774.59;47.06;1.16
3212;CCc1cc(Cl)ccc1;673.71;32.95;0.35;684.12;33.11;0.34
3213;CCc(ccc1)cc1O;715.44;41.52;0.473;702.33;42.79;0.52
3214;ClCc(ccc1)cc1C;701.63;33.92;0.35;699.85;32.36;0.39
3215;ClCc(ccc1)cc1Cl;725.33;35.41;0.358;731.04;35.35;0.34
3216;Cc1cc(C#N)ccc1;714.13;36.27;0.455;715.66;34.18;0.42
3217;Cc1cc(C=O)ccc1;704.08;36.72;0.516;691.60;36.69;0.43
3218;OCc(ccc1)cc1O;739.86;52.47;0.826;764.44;52.86;0.76
3219;O=S(Cc1ccccc1)(Cc1ccccc1)=O;871.86;27.22;0.777;884.53;31.32;0.75
3220;CCC(=O)Nc1ccccc1;754.91;35.64;0.628;798.08;31.69;0.57
3221;COCC(C)CC;537.07;30.82;0.341;533.46;31.30;0.35
3222;O=S(Cc1ccccc1)Cc1ccccc1;885.5;28.18;0.609;845.89;23.81;0.75
3223;CCNc(ccc1)cc1O;777.88;46.24;0.6;766.00;38.48;0.76
3224;CCOc(ccc1)cc1C;671.79;31.49;0.45;669.17;29.74;0.45
3225;CCOc(ccc1)cc1O;736.38;41.28;0.569;738.05;37.43;0.65
3226;OC(=O)Cc(ccc1)cc1C;779.45;34.61;0.754;801.08;34.53;0.79
3227;OC(=O)Cc(ccc1)cc1O;822.04;46.44;0.866;884.69;44.99;0.92
3228;Brc1cc(ccc1)NC(C)=O;822.49;43;0.717;797.60;36.38;0.45
3229;Oc1cc(ccc1)NC(C)=O;827.84;48.9;0.843;875.16;40.61;0.80
3230;CCOc1cc(C(O)=O)ccc1;788.48;32.5;0.841;782.20;31.67;0.77
3231;COc1ccc(C=O)cc1O;789.77;42.44;0.748;789.90;40.07;0.72
3232;CCOC(CCl)OCC;629.22;28.48;0.529;582.39;27.20;0.54
3233;CCOC(CO)OCC;637.81;33.49;0.902;626.27;34.77;0.59
3234;CCCN(CCC)N=O;578.47;30.39;0.58;666.27;27.27;0.46
3235;CCCCCCCCCC(OC(COC(CCCCCCCCC)=O)COC(CCCCCCCCC)=O)=O;936.81;9.2;1.66;876.71;4.58;1.40
3236;CCCCCN(CCCCC)CCCCC;715.6;14.57;0.704;668.00;15.01;0.82
3237;O=C(N)C=Cc1ccccc1;863.15;39.38;0.612;839.74;35.71;0.61
3238;O=C(OCc1ccccc1)N;871.91;37.83;0.622;825.52;36.74;0.60
3239;CC(COc1ccccc1)=O;716.15;33.95;0.608;717.03;30.25;0.48
3240;O=C(COc1ccccc1)N;854.62;42.52;0.684;825.57;38.88;0.64
3241;OCCOCc1ccccc1;732.92;33.99;0.9;737.74;33.36;0.70
3242;ClCCc1ccccc1;684.79;35.26;0.381;707.42;32.69;0.40
3243;OCCC1CCNCC1;723.7;38.32;0.672;741.32;37.84;0.79
3244;CN=Cc1ccccc1;718.21;32.28;0.34;684.47;41.10;0.33
3245;CCSc1ccccc1;718.37;35.54;0.391;722.94;36.90;0.39
3246;OCCN1CCOCC1;720.39;41.14;0.691;720.30;42.27;0.50
3247;O=N(Cc1ccccc1)=O;786.81;41.78;0.491;745.00;37.74;0.57
3248;CC(OC1CCCCC1)=O;648;31.2;0.467;648.12;31.09;0.42
3249;O=C(Oc1ccccc1)N;846.84;49.33;0.57;795.25;43.85;0.57
